,String,Word Count,Good,Bad,Percent Indication
0,worthpoint.com,412,412,0,100.0
1,tripadvisor.co,505,505,0,100.0
2,espn.go.com,1378,1378,0,100.0
3,sensagent.com,478,478,0,100.0
4,lyrics.com,1297,1297,0,100.0
5,pipl.com,1663,1663,0,100.0
6,vitals.com,344,344,0,100.0
7,montrealgazette.com,353,353,0,100.0
8,songlyrics.com,460,460,0,100.0
9,corporationwiki.com,485,485,0,100.0
10,bit.ly,314,0,314,100.0
11,hockeydb.com,332,332,0,100.0
12,192.com,443,443,0,100.0
13,news.cn,326,326,0,100.0
14,whosdatedwho.com,699,699,0,100.0
15,encyclopedia.com,738,738,0,100.0
16,lyricsmode.com,366,366,0,100.0
17,yellowpages.ca,331,331,0,100.0
18,classmates.com,717,717,0,100.0
19,ietf.org,3212,3212,0,100.0
20,indiana.edu,343,343,0,100.0
21,findagrave.com,312,312,0,100.0
22,mylife.com,2828,2828,0,100.0
23,kia.com,1768,1768,0,100.0
24,healthgrades.com,338,338,0,100.0
25,mcgill.ca,419,419,0,100.0
26,zoominfo.com,540,540,0,100.0
27,adnxs.com,510,0,510,100.0
28,spokeo.com,934,934,0,100.0
29,runescape.com,987,0,987,100.0
30,ehow.com,391,391,0,100.0
31,zimbio.com,438,438,0,100.0
32,baseball-reference.com,473,473,0,100.0
33,myspace.com,2954,2954,0,100.0
34,city-data.com,372,372,0,100.0
35,allmusic.com,279,279,0,100.0
36,metrolyrics.com,389,389,0,100.0
37,about.com,1430,1430,0,100.0
38,reference.com,1289,1289,0,100.0
39,yellowpages.com,315,315,0,100.0
40,tvguide.com,681,681,0,100.0
41,barnesandnoble.com,342,342,0,100.0
42,whitepages.com,406,406,0,100.0
43,last.fm,691,691,0,100.0
44,fandango.com,305,305,0,100.0
45,topix.com,298,298,0,100.0
46,sfgate.com,362,362,0,100.0
47,cbc.ca,408,408,0,100.0
48,latimes.com,388,388,0,100.0
49,discogs.com,416,416,0,100.0
50,thefreedictionary.com,952,952,0,100.0
51,usatoday.com,617,617,0,100.0
52,bleacherreport.com,391,391,0,100.0
53,duckduckgo.com,553,553,0,100.0
54,ibm.com,353,353,0,100.0
55,rottentomatoes.com,611,611,0,100.0
56,sourceforge.net,748,748,0,100.0
57,wikimedia.org,328,328,0,100.0
58,livejournal.com,315,315,0,100.0
59,huffingtonpost.com,326,326,0,100.0
